id,abb,info,geb,tod,sex,gebOrt,todOrt
10085,S,Dietrichstein; Ferdinand (1628–1698); Obersthofmeister,1628,1698,m,Wien,Wien
10086,S,Auersperg; Volkhard (1530–1591); Oberststallmeister,1530,1591,m,,Baden am Gebirge
10087,S,Khuen von Belasi; Rudolf (1533–1581); Oberststallmeister,1533,1581,m,Lichtenberg im Pinzgau,Wien:Dorotheerkirche
10088,NULL,Fürstenberg; Albrecht (1557–1599); Oberststallmeister,1557,1599,m,Blumberg in der Baar,Prag
10089,S,Fugger; Johann Ernst (1590–1639); Reichshofratspräsident,1590,1639,m,Stettenfels,Augsburg
10090,P,Habsburg; Matthias I. (1557–1619); Kaiser des Heiligen Römischen Reiches,1557,1619,m,Wien,Wien:Kapuzinergruft
10091,S,Starhemberg; Heinrich Wilhelm (1593–1675); Obersthofmarschall,1593,1675,m,Riedegg im Mühlviertel,Wien
10092,S,Starhemberg; Ernst Rudger (1638–1701); Hofkriegsratspräsident,1638,1701,m,Graz,Konradswörth auf der Wieden
10093,S,Losenstein; Georg Achaz (1597–1653); Oberststallmeister,1597,1653,m,Gschwendt an der Krems,Regensburg
10094,P,Paar; Rudolf (1577–1626); Oberststallmeister,1577,1626,m,Hartberg in der Steiermark,Karlstadt in Kroatien
10095,S,Nostitz; Johann Hartwig (1610–1683); Oberstkanzler von Böhmen,1610,1683,m,Kunzendorf unter dem Walde,Wien
10096,S,Harrach; Franz Albrecht (1614–1666); Oberststallmeister,1614,1666,m,Wien,Wien:Augustinerkirche
10097,NULL,Sprinzenstein; Simon Hieronym (1594–1639); Reichshofrat,1594,1639,m,Prag,Wien:Michaelerkirche
10098,NULL,Trivulzio; Klaudius (1538–1591); Oberststallmeister,1538,1591,m,Mailand,Prag:Thomaskirche
10099,NULL,Cavriani; Oktavian (1560–1618); Oberststallmeister,1560,1618,m,,Wien
10100,P,Habsburg; Karl (1540–1590); Landesherr von Innerösterreich,1540,1590,m,Wien,Graz
10101,S,Aldringen; Johann (1588–1634); Hofkriegsrat,1588,1634,m,Diedenhofen,Landshut in Niederbayern
10102,S,Althan; Michael Adolf (1574–1636); Hofkriegsrat,1574,1636,m,Murstetten,Wien
10103,S,Breunner; Jakob (1566–1606); Obersthofmarschall,1566,1606,m,Graz,Prag
10104,S,Breunner; Maximilian (1593–1635); Geheimer Rat,1593,1635,m,Graz,Oedenburg
10105,S,Collalto; Reimbald (1579–1630); Hofkriegsratspräsident,1579,1630,m,Mantova,Chur in Graubünden
10106,P,Colloredo; Rudolf (1585–1657); Großprior des Malteserordens in Böhmen,1585,1657,m,Budweis in Böhmen,Prag
10107,S,Dietrichstein; Franz (1570–1636); Bischof von Olmütz,1570,1636,m,Madrid,Brünn in Mähren
10108,S,Gonzaga; Eleonora (1598–1655); Kaiserin des Heiligen Römischen Reiches,1598,1655,w,Mantova,Wien
10109,P,Habsburg; Maria Anna (1606–1646); Kaiserin des Heiligen Römischen Reiches,1606,1646,w,San Lorenzo de El Escorial,Linz an der Donau
10110,S,Habsburg; Zäzilia Renata (1611–1644); Königin von Polen,1611,1644,w,Graz,Vilnius
10111,P,Habsburg; Maria Anna (1610–1665); Herzogin in Bayern,1610,1665,w,Graz,München
10112,P,Harrach; Ernst Albrecht (1598–1667); Erzbischof von Prag,1598,1667,m,Wien,Wien
10113,S,Harrach; Karl (1570–1628); Geheimer Rat,1570,1628,m,Rohrau an der Leitha,Prag
10114,S,Harrach; Leonhard Karl (1594–1645); Obersthofmeister,1594,1645,m,Wien,
10115,S,Herberstein; Bernhard (1566–1624); Oberststallmeister,1566,1624,m,Herberstein an der Feistritz,Graz
10116,P,Valmarana; Margarita (1580–1644); Obersthofmeisterin,1580,1644,w,Vicenza,Wien
10117,S,Hoyos; Johann Balthasar (1583–1632); Hofkammerpräsident,1583,1632,m,Stixenstein,Wien
10118,S,Khevenhüller; Johann (1538–1606); Kämmerer,1538,1606,m,Spittal an der Drau,Madrid
10119,S,Kollonitz; Ernst (1582–1638); Hofkriegsrat,1582,1638,m,Schleinitz in der Krain,Wien:Kapuzinergruft
10120,M,Sinzendorf; Georg Ludwig (1616–1680); Hofkammerpräsident,1616,1680,m,Wien,Wien
10121,S,Martinitz; Georg Adam (1602–1651); Oberstkanzler von Böhmen,1602,1651,m,Smetschna,Wien
10122,S,Kolowrat; Ulrich Franz (1607–1650); Oberstburggraf von Prag,1607,1650,m,Schichowitz,Budweis in Böhmen
10123,S,Michna von Waizenhofen; Paul (1580–1632); Geheimer Rat,1580,1632,m,Budin an der Eger,Nürnberg
10124,S,Rottal; Johann (1605–1674); Landeshauptmann von Mähren,1605,1674,m,Graz,Wien
10125,NULL,Gonzaga; Karl (1616–1680); Fürst von Castiglione,1616,1680,m,Castiglione delle Stiviere,Solferino
10126,S,Unterholzer von Kranichberg; Johann Baptist (1561–1632); Hofkammerrat,1561,1632,m,,Kranichberg am Wechsel
10127,S,Polheim; Gundaker (1575–1644); Hofkammerpräsident,1575,1644,m,Lichtenegg im Hausruckviertel,Wien
10128,NULL,Wrzesowitz; Wilhelm (1572–1640); Oberstmünzmeister in Böhmen,1572,1640,m,Wrzesowitz in Mähren,
10129,NULL,Trauttmansdorff; Johann Friedrich (1619–1696); Statthalter von Böhmen,1619,1696,m,Feldbach in der Steiermark,Prag
10130,S,Schwarzenberg; Georg Ludwig (1586–1646); Obersthofmarschall,1586,1646,m,Straubing,Freudenau in der Krain
10131,S,Kraft von Lamersdorf; Ignaz (1592–1638); Abt von Lilienfeld,1592,1638,m,Aachen,Wien
10132,P,Lobkowicz; Sidonius Albrecht (1568–1628); Oberstkanzler von Böhmen,1568,1628,m,Prag,Wien
10133,S,Germain von Lamormain; Wilhelm (1570–1648); Ordensoberer der Jesuiten in Österreich,1570,1648,m,Lamorménil,Wien
10134,S,Götz; Leonhard (1561–1640); Bischof von Lavant,1561,1640,m,Feldkirch in Vorarlberg,Graz
10135,NULL,Teufel von Guntersdorf; Johann Christoph (1567–1624); Kämmerer,1567,1624,m,,Neustadt im Steinfeld
10136,S,Teufel von Guntersdorf; Christoph Adolf (1599–1650); Kämmerer,1599,1650,m,,Wien
10137,S,Losenstein; Wolfgang Siegmund (1567–1626); Obersthofmarschall,1567,1626,m,Gschwendt an der Krems,Gschwendt an der Krems
10138,S,Muschinger; Vinzenz (1570–1628); Hofkammervizepräsident,1570,1628,m,Gumpendorf,Wien:Schottenkirche
10139,S,Trauttmansdorff; Siegmund Friedrich (1571–1631); Hofkriegsrat,1571,1631,m,Trautmannsdorf in der Steiermark,Graz:Jesuitenkirche
10140,NULL,Hase von Hasenburg; Jaroslaus (1614–1663); Kämmerer,1614,1663,m,Radešín,Prag
10141,S,Verda von Verdenberg; Johann Baptist (1582–1648); Geheimer Rat,1582,1648,m,Campione am Luganersee,Wien:Michaelerkirche
10142,P,Verda von Verdenberg; Johann Ferdinand (1626–1666); Kämmerer,1626,1666,m,Wien,Wien:Michaelerkirche
10143,S,Wagen von Wagensperg; Johann Siegmund (1574–1640); Hofkammerpräsident,1574,1640,m,Präwald in der Krain,
10144,NULL,Walderode; Johann Baptist (1593–1674); Reichshofrat,1593,1674,m,Sankt Vith,Wien
10145,S,Würben; Wenzel (1589–1649); Kämmerer,1589,1649,m,Troppau,Venedig
10146,S,Mansfeld; Philipp (1589–1657); Geheimer Rat,1589,1657,m,Bornstedt im Harz,Jauer an der Raab
10147,NULL,Sinzendorf; Johann Joachim (1620–1665); Hofkanzler,1620,1665,m,Ernstbrunn,
10148,NULL,Thun; Johann Arbogast (1614–1646); Stäbelmeister,1614,1646,m,Kastelpfund,Linz an der Donau
10149,NULL,Wrzesowitz; Johann Weikhard (1624–1656); Kämmerer,1624,1656,m,Wrzesowitz in Mähren,Liebenau an der Warthe
10150,M,Trautson; Paul Sixt (1548–1621); Obersthofmarschall,1548,1621,m,Stein am Gallian,Wien:Michaelerkirche
10151,NULL,Hohenfeld; Otto Achaz (1614–1685); Mundschenk,1614,1685,m,Aistersheim,Aistersheim
10152,NULL,Quiroga; Jakob (1574–1649); Mundschenk,1574,1649,m,,
10153,NULL,Glauchau; Johann Matthias (1575–1633); Rentmeister in Böhmen,1575,1633,m,Glauchau,Prag
10154,NULL,Trauttmansdorff; Ehrenreich Adam (1595–1664); Kämmerer,1595,1664,m,,
10155,NULL,Manrique de Lara; Georg (1610–1651); Stäbelmeister,1610,1651,m,Desio in der Lombardei,
10156,NULL,Trauttmansdorff; Franz Anton (1630–1672); Kämmerer,1630,1672,m,Graz,
10157,NULL,Trauttmansdorff; Otto Ehrenreich (1586–1664); Hofkriegsrat,1586,1664,m,Frauenstein in Kärnten,
10158,NULL,Trauttmansdorff; Adam Matthias (1617–1684); Geheimer Rat,1617,1684,m,Teinitz an der Radbusa,Teinitz an der Radbusa
10159,S,Trauttmansdorff; Siegmund Friedrich (1623–1675); Landeshauptmann der Steiermark,1623,1675,m,Graz,Graz
10160,NULL,Trautson; Paul Sixt (1635–1678); Kämmerer,1635,1678,m,Wien,Madrid
10161,M,Trautson; Franz Euseb (1642–1718); Geheimer Rat,1642,1718,m,Wien,Innsbruck
10162,M,Trautson; Johann Leopold (1659–1724); Obersthofmeister,1659,1724,m,,Wien:Michaelerkirche
10163,NULL,Zinzendorf; Johann Joachim (1570–1626); Kämmerer,1570,1626,m,Augsburg,Karlsbach im Mühlkreis
10164,S,Zinzendorf; Johann Albrecht (1619–1683); Obersthofmeister,1619,1683,m,Karlsbach im Mühlkreis,Oedenburg
10165,S,Ungnad von Weissenwolff; David (1604–1672); Prinzipalkommissar,1604,1672,m,Sonnegg im Jauntal,Linz an der Donau
10166,S,Ungnad von Weissenwolff; Helmhard Christoph (1634–1702); Landeshauptmann von Oberösterreich,1634,1702,m,Sonnegg im Jauntal,Linz an der Donau
10167,NULL,Dohna; Maximilian Ernst (1615–1641); Stäbelmeister,1615,1641,m,Wartenberg an der Weide,Graz
10168,S,Fürstenberg; Ferdinand Friedrich (1623–1663); Geheimer Rat,1623,1662,m,Konstanz im Hegau,Donaueschingen
10169,P,Cavriani; Friedrich (1597–1662); Obersthofmeister,1597,1662,m,Mantova,Wien
10170,S,Hohenfeld; Ferdinand (1612–1675); Hofkammervizepräsident,1612,1675,m,Aistersheim,Wien
10171,S,Pătrașcu; Michael (1615–1655); Erbprinz der Walachei,1615,1655,m,Fagreschmarkt,Jaßenmarkt
10172,NULL,Teufel von Guntersdorf; Ferdinand Viktor (1630–1665); Stäbelmeister,1630,1665,m,Guntersdorf im Weinviertel,
10173,P,Zrínyi; Niklas (1620–1664); Ban von Kroatien,1620,1664,m,Osail,Kuršanec
10174,S,Zrínyi; Peter (1621–1671); Ban von Kroatien,1621,1671,m,Vrbovec,Neustadt im Steinfeld
10175,NULL,Hohenzollern; Leopold (1608–1659); Kämmerer,1608,1659,m,Hechingen,Köln am Rhein
10176,S,Martinitz; Bernhard Ignaz (1615–1685); Oberstburggraf von Prag,1615,1685,m,Prag,Prag:Veitsdom
10177,S,Truchsess von Waldburg; Johann Jakob (1602–1674); Kämmerer,1602,1674,m,Zeil in Schwaben,Zeil in Schwaben
10178,NULL,Truchsess von Waldburg; Otto (1615–1663); Kämmerer,1615,1663,m,Ulm an der Donau,
10179,NULL,Pilca Koryciński; Stephan (1617–1658); Münzverwalter in Lemberg,1617,1658,m,Krakau,Peskenstein
10180,S,Martinitz; Maximilian Valentin (1621–1677); Oberstburggraf von Prag,1621,1677,m,Passau,Prag:Veitsdom
10181,S,Khevenhüller; Georg Augustin (1615–1653); Kämmerer,1615,1653,m,Wien,Wien
10182,NULL,Talmberg; Franz Wilhelm (1610–1665); Kämmerer,1610,1665,m,,
10183,NULL,Alvernia di Clavesana; Michael (1617–1678); Kämmerer,1617,1678,m,,Chrudim
10184,NULL,Bonacossi; Franz (1615–    ); Mundschenk,1615,,m,Ferrara,
10185,NULL,Thurn; Johann Ambros (1616–1656); Kämmerer,1616,1656,m,,
10186,NULL,Mollard; Franz Ernst (1612–1670); Oberstküchenmeister,1612,1670,m,Prag,Wien
10187,S,Breunner; Karl Gottfried (1619–1675); Hofkammerpräsident von Innerösterreich,1619,1675,m,,Graz
10188,NULL,Hauslaib; Lorenz (1568–1625); Munitionsverwalter,1568,1625,m,Nürnberg,Regensburg
10189,P,Rabatta; Joseph (1620–1683); Bischof von Laibach,1620,1683,m,Görz,Laibach
10190,NULL,Meggau; Elisabeth (1610–1684),1610,1684,w,Wien,Wien
10191,NULL,Wratislaw von Mitrowitz; Georg Sidonius (1619–1655); Mundschenk,1619,1655,m,,Poritschen an der Bradava
10192,NULL,Kaunitz; Leopold Wilhelm (1614–1655); Kämmerer,1614,1655,m,Austerlitz in Mähren,Brünn in Mähren
10193,NULL,Auersperg; Herbert (1613–1669); Kämmerer,1613,1669,m,Seisenberg in der Krain,Agram
10194,NULL,Waldstein; Rudolf (1592–1649); Kämmerer,1592,1649,m,,
10195,S,Forgách; Franz (1620–1647); Kämmerer,1620,1647,m,,Landshut in Mähren
10196,P,Forgách; Niklas (1586–1635); Kämmerer,1586,1635,m,,Pressburg
10197,S,Forgách; Siegmund (1605–1645); Kämmerer,1605,1645,m,,
10198,P,Forgách; Adam (1601–1681); Kämmerer,1601,1681,m,,Tyrnau
10199,P,Nádasdy; Franz (1623–1671); Geheimer Rat,1623,1671,m,Schächtitz,Wien
10200,P,Habsburg; Ferdinand I. (1503–1564); Kaiser des Heiligen Römischen Reiches,1503,1564,m,Alcalá de Henares,Wien
10201,NULL,Erdődy; Wolfgang (1620–1647); Mundschenk,1620,1647,m,Eberau im Burgenland,
10202,NULL,Erdődy; Georg (1625–    ); Kämmerer,1625,,m,Eberau im Burgenland,
10203,S,Erdődy; Georg (1614–1663); Kämmerer,1614,1663,m,Eberau im Burgenland,
10204,S,Erdődy; Emmerich (1618–1690); Kämmerer,1618,1690,m,Eberau im Burgenland,Kanizsa
10205,NULL,Balassa; Emmerich (1626–1683); Kämmerer,1626,1683,m,,Tállya
10206,S,Balassa; Valentin (1626–1684); Kämmerer,1626,1684,m,Blauenstein,Sohl an der Gran
10207,NULL,Herzan von Harras; Johann Adam (1625–1681); Kämmerer,1625,1681,m,Rothenhaus im Erzgebirge,Rothenhaus im Erzgebirge
10208,NULL,Wagen von Wagensperg; Adolf (1626–    ); Kämmerer,1626,,m,,
10209,NULL,Thun; Johann Arbogast (1565–1633); Geheimer Rat,1565,1633,m,Kalteis im Sulztal,Kalteis im Sulztal
10210,NULL,Thun; Michael Oswald (1631–1694); Statthalter von Böhmen,1631,1694,m,,Prag
10211,NULL,Thun; Rudolf (1597–1636); Kämmerer,1597,1636,m,,Brixen am Eisack
10212,NULL,Fuchs von Fuchsberg; Karl (1585–1648); Reichshofratsvizepräsident,1585,1648,m,Lebenberg im Etschtal,Wien
10213,F,Notthafft; Johann Heinrich (1604–1665); Reichshofratsvizepräsident,1604,1665,m,Blaibach am Regen,Wien
10214,NULL,Kuefstein; Anna Elisabeth (1603–1673),1603,1673,w,Greillenstein,
10215,NULL,Kuefstein; Johann Jakob (1577–1633); Reichshofrat,1577,1633,m,Greillenstein,
10216,F,Kuefstein; Johann Georg (1543–1603),1543,1603,m,Greillenstein,Maria Laach am Jauerling
10217,NULL,Waldstein; Maximiliana (1625–1658),1625,1658,w,,
10218,NULL,Muschinger; Martha Elisabeth (1605–1639),1605,1639,w,Gumpendorf,
10219,NULL,Hase von Hasenburg; Johann Sbigneus (1560–1616),1560,1616,m,Budin an der Eger,
10220,S,Fürstenberg; Barzel (1584–1631); Reichshofratspräsident,1584,1631,m,Prag,Wien
10221,NULL,Fürstenberg; Barzel (1601–1642); Kämmerer,1601,1642,m,Blumberg in der Baar,Neufra an der Donau
10222,NULL,Fürstenberg; Franz Christoph (1625–1671); Kämmerer,1625,1671,m,Blumberg in der Baar,Hüfingen
10223,NULL,Fürstenberg; Frowin Maria (1627–1685); Geheimer Rat,1627,1685,m,Blumberg in der Baar,Meßkirch an der Ablach
10224,S,Fürstenberg; Friedrich (1496–1559),1496,1559,m,Wolfach,
10225,NULL,Fürstenberg; Christoph (1534–1559),1534,1559,m,,Heiligenberg im Linzgau
10226,NULL,Fürstenberg; Christoph (1580–1614),1580,1614,m,Blumberg in der Baar,Linz an der Donau
10227,NULL,Fürstenberg; Joachim (1538–1598),1538,1598,m,,Heiligenberg im Linzgau
10228,NULL,Fürstenberg; Friedrich (1563–1617); Obersthofmeister,1563,1617,m,Heiligenberg im Linzgau,Dresden
10229,S,Fürstenberg; Eginhard (1588–1635); Geheimer Rat,1588,1635,m,Speyer,Konstanz im Hegau
10230,NULL,Lobkowicz; Johann (1510–1570); Oberstburggraf von Prag,1510,1570,m,,Prag
10231,NULL,Thun; Zyprian (1501–1573); Kämmerer,1501,1573,m,Thun in Tirol,
10232,NULL,Thun; Siegmund (1537–1596); Kämmerer,1537,1596,m,Thun in Tirol,Kastelpfund
10233,NULL,Thun; Johann Zyprian (1569–1630); Kämmerer,1569,1630,m,Kastelpfund,Tetschen
10234,NULL,Thun; Jakob (1494–1559),1494,1559,m,Thun in Tirol,Kalteis im Sulztal
10235,NULL,Thun; Anton Jakob (1537–1569); Mundschenk,1537,1569,m,Bragher,Trient
10236,NULL,Thun; Lauk (1485–1559),1485,1559,m,Thun in Tirol,
10237,NULL,Thun; Viktor (1530–1572); Kämmerer,1530,1572,m,Thun in Tirol,Vigo
10238,NULL,Thun; Herkules (1561–1615); Kämmerer,1561,1615,m,Thun in Tirol,
10239,NULL,Thun; Georg Siegmund (1573–1651); Kämmerer,1573,1651,m,Kastelpfund,Bragher
10240,NULL,Thun; Anton (1450–1522),1450,1522,m,,Thun in Tirol
10241,S,Erdődy; Thomas (1558–1624); Ban von Kroatien,1558,1624,m,Eberau im Burgenland,Krapina
10242,P,Erdődy; Elisabeth (1598–1652),1598,1652,w,Eberau im Burgenland,
10243,NULL,Erdődy; Peter (1560–1613),1560,1613,m,Eberau im Burgenland,
