year,S,P,M,F
1404,2,28,58,62
1405,68,74,31,80
1406,75,24,72,74
1407,36,40,46,13
1408,52,33,38,86
1409,72,45,76,68
1410,61,3,35,32
1411,60,75,60,81
1412,51,69,59,13
1413,95,70,21,20
1414,86,63,46,22
1415,51,31,68,53
1416,13,71,100,11
1417,17,49,58,45
1418,46,25,28,60
1419,79,22,11,42
1420,96,78,73,16
1421,1,22,17,75
1422,28,87,10,7
1423,73,54,42,39
1424,79,5,1,24
1425,67,91,40,50
1426,62,74,55,41
1427,72,98,5,75
1428,22,83,10,8
1429,10,78,56,79
1430,10,55,47,93
1431,66,52,86,97
1432,5,3,94,32
1433,60,50,7,13
1434,28,11,46,15
1435,11,24,90,68
1436,89,58,56,48
1437,54,68,59,6
1438,58,87,3,52
1439,32,20,88,34
1440,83,89,5,38
1441,37,80,38,46
1442,46,40,40,34
1443,73,63,59,1
1444,22,23,100,47
1445,59,26,74,14
1446,54,25,2,43
1447,47,37,10,66
1448,24,25,36,70
1449,12,83,26,100
1450,3,58,57,18
1451,2,77,70,58
1452,41,10,7,84
1453,21,68,59,76
1454,6,14,78,89
1455,86,74,31,27
1456,94,61,56,17
1457,62,97,96,88
1458,84,98,50,81
1459,35,58,36,87
1460,92,71,67,57
1461,63,11,74,13
1462,58,17,89,54
1463,71,34,46,88
1464,64,62,47,43
1465,65,33,92,15
1466,95,81,93,36
1467,36,84,88,71
1468,96,48,19,17
1469,64,43,69,21
1470,60,79,63,89
1471,56,4,24,7
1472,6,26,93,80
1473,47,11,58,50
1474,73,15,30,47
1475,41,96,75,87
1476,90,24,47,95
1477,45,39,17,6
1478,97,80,53,39
1479,11,26,76,73
1480,27,95,55,29
1481,26,69,96,60
1482,9,63,56,2
1483,98,65,47,63
1484,23,52,56,80
1485,7,84,10,16
1486,12,66,35,20
1487,5,45,50,90
1488,19,28,26,62
1489,89,40,41,56
1490,58,26,8,33
1491,51,12,78,66
1492,91,25,96,81
1493,73,54,73,9
1494,62,98,30,7
1495,66,74,54,11
1496,74,38,73,34
1497,15,69,13,44
1498,76,85,58,77
1499,44,73,87,22
1500,65,88,59,20
1501,16,95,47,4
1502,59,98,45,19
1503,51,53,95,85
1504,59,66,54,58
1505,1,91,83,94
1506,18,1,2,61
1507,40,27,35,52
1508,40,25,94,59
1509,27,58,72,87
1510,7,25,37,94
1511,18,89,59,63
1512,74,19,59,70
1513,85,15,94,95
1514,84,82,84,96
1515,14,34,40,59
1516,72,72,20,29
1517,63,99,42,76
1518,56,38,42,95
1519,32,17,73,59
1520,94,38,69,4
1521,35,40,92,98
1522,77,60,96,76
1523,99,99,55,63
1524,68,19,25,84
1525,18,86,19,75
1526,97,54,73,28
1527,19,89,73,13
1528,78,43,80,43
1529,85,81,14,27
1530,74,91,22,100
1531,82,97,85,64
1532,29,89,83,28
1533,52,62,86,96
1534,82,72,95,6
1535,54,45,17,78
1536,27,45,94,67
1537,47,15,84,92
1538,57,71,88,32
1539,28,71,54,43
1540,45,22,1,93
1541,45,2,50,77
1542,3,3,56,26
1543,26,71,81,82
1544,86,5,98,39
1545,38,26,23,53
1546,39,96,94,32
1547,100,83,52,97
1548,17,9,49,96
1549,89,64,59,97
1550,37,92,96,82
1551,60,79,35,49
1552,63,22,76,20
1553,78,58,57,45
1554,23,43,32,89
1555,38,76,88,54
1556,99,69,8,62
1557,43,48,73,83
1558,81,62,63,77
1559,53,34,16,68
1560,88,8,47,40
1561,40,26,52,81
1562,72,10,56,62
1563,7,38,12,67
1564,38,46,55,98
1565,33,11,66,40
1566,83,65,4,68
1567,10,65,58,87
1568,69,91,95,79
1569,73,32,36,42
1570,64,51,92,98
1571,100,16,37,7
1572,70,28,15,42
1573,52,63,40,9
1574,83,13,23,52
1575,76,57,12,22
1576,62,68,73,4
1577,36,44,51,75
1578,70,6,43,70
1579,86,36,79,79
1580,67,80,38,96
1581,78,97,51,88
1582,13,67,24,27
1583,83,52,43,77
1584,11,22,35,56
1585,16,87,70,5
1586,52,21,6,19
1587,7,56,78,98
1588,60,84,46,81
1589,38,62,78,76
1590,24,14,36,50
1591,42,58,35,52
1592,44,73,9,61
1593,4,88,67,80
1594,60,81,13,72
1595,84,12,64,98
1596,47,84,37,76
1597,53,21,68,80
1598,70,43,49,18
1599,58,49,23,52
1600,44,23,77,22
1601,85,73,74,16
1602,38,72,55,62
1603,51,47,6,72
1604,50,23,7,70
1605,84,94,8,70
1606,2,60,12,26
1607,45,87,63,85
1608,19,92,83,62
1609,12,8,40,70
1610,65,98,90,77
1611,5,80,18,3
1612,50,91,25,72
1613,91,60,79,64
1614,93,86,48,17
1615,60,17,66,71
1616,28,53,39,27
1617,26,30,35,12
1618,24,1,76,40
1619,15,68,28,9
1620,76,56,79,50
1621,69,58,98,98
1622,3,9,51,72
1623,45,27,41,63
1624,37,55,47,33
1625,80,12,36,70
1626,38,76,64,10
1627,2,18,22,31
1628,35,49,37,70
1629,28,82,4,35
1630,58,49,95,60
1631,74,76,90,59
1632,68,87,93,71
1633,9,31,5,32
1634,75,94,91,66
1635,7,28,27,6
1636,89,61,34,30
1637,46,71,80,77
1638,97,58,25,16
1639,17,79,42,89
1640,51,31,28,60
1641,85,40,48,36
1642,61,30,20,84
1643,32,62,45,58
1644,33,95,12,91
1645,93,87,80,77
1646,76,7,58,94
1647,47,9,98,16
1648,29,18,97,62
1649,27,51,20,22
1650,7,11,76,19
1651,81,63,82,87
1652,83,99,12,89
1653,61,73,3,23
1654,16,80,42,37
1655,62,52,85,8
1656,18,82,20,4
1657,91,37,87,21
1658,43,63,3,42
1659,17,61,38,39
1660,64,42,6,74
1661,44,2,97,46
1662,92,94,23,10
1663,85,12,97,26
1664,74,47,54,17
1665,12,16,15,46
1666,50,36,19,25
1667,76,20,37,20
1668,79,30,63,17
1669,58,81,32,92
1670,7,81,48,22
1671,54,66,62,69
1672,97,99,23,29
1673,96,80,82,89
1674,92,84,56,72
1675,68,18,29,66
1676,73,48,10,60
1677,29,37,75,100
1678,67,52,27,1
1679,30,95,35,36
1680,4,100,90,38
1681,1,61,35,14
1682,7,13,51,5
1683,39,85,34,60
1684,35,76,84,4
1685,94,13,3,44
1686,45,76,45,30
1687,29,72,56,10
1688,14,51,19,32
1689,44,53,54,7
1690,80,75,42,60
1691,71,8,59,22
1692,53,98,19,39
1693,50,14,91,34
1694,4,17,78,98
1695,41,50,27,49
1696,86,88,79,84
1697,32,86,34,62
1698,42,25,32,65
1699,53,94,66,67
1700,68,51,55,45
1701,44,47,64,87
1702,32,69,4,59
1703,23,8,35,55
1704,33,98,92,12
1705,62,57,12,14
1706,63,34,43,69
1707,70,21,56,70
1708,55,15,65,33
1709,63,68,97,36
1710,38,70,19,32
1711,19,41,66,59
1712,99,35,6,94
1713,49,47,93,25
1714,14,13,11,9
1715,44,67,17,80
1716,85,82,7,41
1717,69,4,91,43
1718,88,78,19,93
1719,2,59,99,65
1720,70,60,25,62
1721,35,84,72,70
1722,15,73,4,17
1723,69,87,74,49
1724,22,24,13,80
1725,8,61,100,30
1726,20,90,52,44
1727,95,77,82,62
1728,59,93,60,73
1729,28,58,94,44
1730,76,74,69,17
1731,91,65,25,22
1732,75,76,22,94
1733,87,54,25,93
1734,52,10,31,82
1735,10,74,15,16
1736,15,94,84,46
1737,73,14,59,56
1738,33,14,20,59
1739,30,87,79,17
1740,47,37,91,60
1741,92,1,61,52
1742,61,96,33,50
1743,56,24,42,3
1744,6,55,91,60
1745,73,50,55,64
1746,35,39,53,24
1747,51,80,63,82
1748,40,82,71,92
1749,85,28,58,78
1750,80,57,68,52
