id,abb,info,geb,tod,sex,gebOrt,todOrt,alter
11950,M,Przemysl; Odoaker (1233–1278); König von Böhmen,1233,1278,m,Königstädtel in Böhmen,Dürnkrut an der March,45
16039,P,Hohenberg; Albrecht (1235–1298); Graf von Haigerloch,1235,1298,m,Hohenberg im Zollernalbkreis,Leinstetten an der Glatt,63
19907,P,Este; Haubald (1247–1293),1247,1293,m,,,46
13200,M,Habsburg; Albrecht I. (1255–1308); König des Heiligen Römischen Reiches,1255,1308,m,Rheinfelden im Aargau,Königsfelden im Aargau,53
16538,P,Hohenberg; Rudolf (1275–1336),1275,1336,m,Rottenburg am Neckar,Rottenburg am Neckar:Stiftskirche,61
12200,F,Wittelsbach; Ludwig IV. (1282–1347); Kaiser des Heiligen Römischen Reiches,1282,1347,m,Heidelberg,Puch an der Amper,65
16001,P,Habsburg; Rudolf (1282–1307); König von Böhmen,1282,1307,m,Wien,,25
17212,P,Rosenberg; Peter (1282–1347),1282,1347,m,Rosenberg in Böhmen,Krumau in Böhmen,65
16005,P,Habsburg; Friedrich (1286–1330); König des Heiligen Römischen Reiches,1286,1330,m,Wien,Gutenstein an der Piesting,44
11463,S,Hohenzollern; Friedrich (1287–1332); Burggraf von Nürnberg,1287,1332,m,Cadolzburg,Cadolzburg,45
16006,P,Habsburg; Leopold (1290–1326),1290,1326,m,Wien,Straßburg im Elsass,36
16002,P,Habsburg; Albrecht (1298–1358),1298,1358,m,Wien,Wien,60
16007,P,Habsburg; Heinrich (1298–1327),1298,1327,m,Wien,Bruck an der Mur,29
16540,F,Hohenberg; Albrecht (1303–1359); Bischof von Freising,1303,1359,m,Rottenburg am Neckar,Stein am Rhein,56
11464,F,Hohenzollern; Johann (1310–1357); Burggraf von Nürnberg,1310,1357,m,Cadolzburg,Cadolzburg,47
15198,P,Scarpone; Johanna (1310–1351); Gräfin von Pfirt,1310,1351,w,Basel,Wien,41
15001,P,Burgund; Alfons (1311–1350); König von Kastilien,1311,1350,m,Salamanca,Gibraltar,39
13100,M,Luxemburg; Karl IV. (1316–1378); Kaiser des Heiligen Römischen Reiches,1316,1378,m,Prag,Prag,62
10753,P,Kolowrat; Albrecht (1320–1391); Oberstburggraf von Prag,1320,1391,m,,Prag,71
18797,M,Kotromanics; Stephan (1328–1391); König von Bosnien,1328,1391,m,,,63
11661,F,Puchheim; Pilgram (1330–1396); Erzbischof von Salzburg,1330,1396,m,Puchheim im Hausruckviertel,Salzburg,66
11465,S,Hohenzollern; Friedrich (1332–1398); Burggraf von Nürnberg,1332,1398,m,Cadolzburg,Kulmbach,66
15002,P,Burgund; Heinrich (1334–1379); König von Kastilien,1334,1379,m,Sevilla,Santo Domingo de la Calzada,45
15010,M,Burgund; Peter (1334–1369); König von Kastilien,1334,1369,m,Burgos,Montiel,35
19899,F,Kotromanics; Elisabeth (1335–1387); Königin von Ungarn,1335,1387,w,,Novigrad an der Draga,52
16020,P,Habsburg; Rudolf (1339–1365),1339,1365,m,Wien,Mailand,26
14288,F,Hundbiß; Johann (1345–1429),1345,1429,m,Ravensburg im Schussental,Ravensburg im Schussental:Karmeliterkirche,84
17745,F,Dohna; Johann (1350–1403),1350,1403,m,,Ofen,53
18620,P,Montfort; Haug (1357–1423); Landeshauptmann der Steiermark,1357,1423,m,Bregenz,Bruck an der Mur:Minoritenkirche,66
15003,F,Burgund; Johann (1358–1390); König von Kastilien,1358,1390,m,,Alcalá de Henares,32
14400,P,Jagiello; Lassel (1360–1434); König von Polen,1360,1434,m,Vilnius,Grodeck,74
16768,S,Perényi; Peter (1360–1423),1360,1423,m,,,63
10701,P,Truchsess von Waldburg; Johann (1362–1424),1362,1424,m,,Waldburg in Oberschwaben,62
12803,P,Schwarzenberg; Erkinger (1362–1437),1362,1437,m,Seinsheim,Marienbrück in Astheim,75
15310,S,Colonna; Lorenz (1365–1423),1365,1423,m,Rom,,58
14200,P,Luxemburg; Siegmund I. (1368–1437); Kaiser des Heiligen Römischen Reiches,1368,1437,m,Nürnberg,Znaim,69
11466,P,Hohenzollern; Friedrich (1371–1440); Markgraf von Brandenburg,1371,1440,m,Cadolzburg,Cadolzburg,69
13120,P,Wolkenstein; Oswald (1377–1445),1377,1445,m,Schöneck im Pustertal,Hauenstein in Tirol,68
16024,P,Habsburg; Ernst (1377–1424),1377,1424,m,Bruck an der Mur,Bruck an der Mur,47
15004,P,Burgund; Heinrich (1379–1406); König von Kastilien,1379,1406,m,Burgos,Toledo,27
15007,F,Burgund; Ferdinand (1380–1416); König von Aragonien,1380,1416,m,Medina del Campo,Igualada,36
16025,P,Habsburg; Friedrich (1382–1439); Landesherr von Tirol,1382,1439,m,Bruck an der Mur,Innsbruck,57
11025,S,Sternberg; Jaroslaus (1385–1420),1385,1420,m,Beneschau,Prag,35
10702,P,Truchsess von Waldburg; Jakob (1390–1460),1390,1460,m,,Wien,70
11034,S,Sternberg; Alexander (1390–1455),1390,1455,m,Sternberg in Mähren,Pürglitz,65
11901,P,Oldenburg; Theoderich (1394–1440),1394,1440,m,Oldenburg an der Hunte,Delmenhorst,46
13470,P,Gonzaga; Johann Franz (1395–1444); Markgraf von Mantua,1395,1444,m,Mantova,Mantova,49
18644,P,Montfort; Elisabeth (1395–1457),1395,1457,w,Bregenz,Konstanz im Hegau:Münster,62
11936,P,Schlick; Kaspar (1396–1449),1396,1449,m,Eger in Böhmen,Wien,53
15019,P,Capet; Philipp (1396–1467),1396,1467,m,,,71
13600,S,Habsburg; Albrecht II. (1397–1439); König des Heiligen Römischen Reiches,1397,1439,m,Wien,Langendorf an der Donau,42
10708,F,Truchsess von Waldburg; Georg (1400–1467),1400,1467,m,,Zeil in Schwaben,67
13411,P,Lodron; Georg (1400–1461),1400,1461,m,Lodrone di Storo,,61
15798,F,Hunyadi; Johann (1400–1456),1400,1456,m,Eisenmarkt in Siebenbürgen,Weißenburg in Serbien,56
16120,P,Croy; Anton (1402–1475),1402,1475,m,,,73
16121,P,Croy; Johann (1403–1473),1403,1473,m,,Valenciennes,70
17215,P,Rosenberg; Ulrich (1403–1462); Statthalter von Böhmen,1403,1462,m,Krumau in Böhmen,Krumau in Böhmen,59
15612,S,Colonna; Edward (1405–1462),1405,1462,m,Rom,,57
11490,S,Hohenzollern; Johann (1406–1464); Landesherr von Kulmbach,1406,1464,m,Cadolzburg,Scharfeneck im Regnitzgrund,58
11940,S,Pernstein; Johann (1406–1475),1406,1475,m,,,69
15311,S,Colonna; Anton (1408–1472),1408,1472,m,Rom,Genazzano,64
14201,P,Luxemburg; Elisabeth (1409–1442); Königin des Heiligen Römischen Reiches,1409,1442,w,Prag,Jauer an der Raab,33
12620,F,Újlaki; Niklas (1410–1477); König von Bosnien,1410,1477,m,Illok in Syrmien,Illok in Syrmien,67
15799,M,Szilágyi von Horogszeg; Elisabeth (1410–1483),1410,1483,w,,,73
10940,P,Gonzaga; Ludwig (1412–1478); Markgraf von Mantua,1412,1478,m,Mantova,Goito,66
11468,P,Hohenzollern; Albrecht (1414–1486); Markgraf von Brandenburg,1414,1486,m,Tangermünde,Frankfurt am Main,72
11026,S,Sternberg; Sidonius (1415–1476); Oberstburggraf von Prag,1415,1476,m,Beneschau,Neustadt im Steinfeld,61
14000,P,Habsburg; Friedrich III. (1415–1493); Kaiser des Heiligen Römischen Reiches,1415,1493,m,Innsbruck,Linz an der Donau,78
18368,S,Szilágyi von Horogszeg; Michael (1415–1461); Ban von Kroatien,1415,1461,m,,Konstantinopel,46
16084,P,Habsburg; Margarita (1417–1486),1417,1486,w,Innsbruck,Altenburg in Thüringen,69
17826,P,Trauttmansdorff; Christoph (1418–1480); Bischof von Seckau,1418,1480,m,Kirchberg am Walde,Seckau im Murtal,62
11584,S,Podiebrad; Georg (1420–1471); König von Böhmen,1420,1471,m,Podiebrad,Prag,51
11669,P,Truchsess von Waldburg; Eberhard (1420–1479),1420,1479,m,,,59
15020,P,Capet; Anton (1421–1504),1421,1504,m,Lizy in der Picardie,Tournehem sur la Hem,83
17037,P,Sternberg; Kunigunda (1422–1449),1422,1449,w,Sternberg in Mähren,Podiebrad,27
15026,M,Burgund; Ferdinand (1423–1494); König von Neapel,1423,1494,m,Valencia,Genova,71
14401,S,Jagiello; Lassel (1424–1444); König von Polen,1424,1444,m,Krakau,Varna,20
13472,M,Gonzaga; Zäzilia (1425–1451),1425,1451,w,Mantova,Mantova,26
11906,P,Oldenburg; Christian (1426–1481); König von Dänemark,1426,1481,m,Oldenburg an der Hunte,Kopenhagen,55
14408,P,Jagiello; Kasimir (1427–1492); König von Polen,1427,1492,m,Krakau,Garten an der Memel,65
16075,M,Habsburg; Siegmund (1427–1496); Landesherr von Tirol,1427,1496,m,Innsbruck,Innsbruck,69
17216,P,Rosenberg; Perchta (1429–1476),1429,1476,w,Krumau in Böhmen,Wien,47
11202,P,Rosental; Johanna (1430–1475); Königin von Böhmen,1430,1475,w,Rosental an der Skalitz,Melnik,45
11675,P,Hohenzollern; Dorothea (1430–1495); Königin von Dänemark,1430,1495,w,Trebitz an der Elbe,Kalundborg,65
16125,P,Croy; Philipp (1430–1482),1430,1482,m,,Brügge,52
18937,P,Boskowitz von Schwarzenberg; Protas (1430–1482); Bischof von Olmütz,1430,1482,m,Schwarzenberg in Mähren,Wischau,52
11458,S,Hohenzollern; Jobst Niklas (1433–1488),1433,1488,m,Hechingen,Augsburg,55
14900,P,Capet; Karl (1433–1477); Herzog von Burgund,1433,1477,m,Dijon,Nancy,44
16131,P,Croy; Philipp (1433–1511),1433,1511,m,,,78
18910,S,Hunyadi; Lassel (1433–1457); Ban von Kroatien,1433,1457,m,Eisenmarkt in Siebenbürgen,Ofen,24
19831,S,Hallwyl; Johann (1433–1504),1433,1504,m,Hallwyl im Aargau,Trostburg im Teufenthal,71
10598,F,Marschall von Pappenheim; Alexander (1435–1511),1435,1511,m,,Grönenbach im Allgäu,76
17901,P,Zelking; Christoph (1435–1491),1435,1491,m,,Kefermarkt im Mühlviertel:Pfarrkirche,56
12153,S,Thurzó von Bethlenfalva; Johann (1437–1508),1437,1508,m,Leutschau in der Zips,Neustadt am Frauenbach,71
11941,S,Pernstein; Wilhelm (1438–1521),1438,1521,m,,Pardubitz,83
14202,P,Habsburg; Elisabeth (1438–1505); Königin von Polen,1438,1505,w,Wien,Krakau,67
15090,P,Egmond; Johann (1438–1516),1438,1516,m,Hattem,Egmond aan den Hoef,78
13700,P,Habsburg; Lassel (1440–1457); König von Ungarn,1440,1457,m,Komorn an der Donau,Prag,17
10943,P,Gonzaga; Friedrich (1441–1484); Markgraf von Mantua,1441,1484,m,Mantova,Mantova,43
16310,S,Wittelsbach; Elisabeth (1442–1484); Herzogin zu Sachsen,1442,1484,w,München,Leipzig,42
16366,S,Trivulzio; Johann Jakob (1442–1518); Markgraf von Vigevano,1442,1518,m,Mailand,Chartres,76
11872,P,Wettin; Albrecht (1443–1500); Herzog zu Sachsen,1443,1500,m,Altenburg in Thüringen,Emden in Ostfriesland,57
15800,F,Hunyadi; Matthias (1443–1490); König von Ungarn,1443,1490,m,Klausenburg,Wien,47
14441,F,Scherffenberg; Bernhard (1445–1513),1445,1513,m,,Lorch an der Enns:Laurenzkirche,68
11801,F,Hattstein; Johann (1447–1546); Großprior des Malteserordens in Deutschland,1447,1546,m,Usingen im Taunus,Speyer,99
11585,F,Podiebrad; Heinrich (1448–1498); Landeshauptmann von Böhmen,1448,1498,m,Podiebrad,Glatz,50
17680,P,Piastowicz; Konrad (1448–1503); Herzog von Masowien,1448,1503,m,,Osieck in Masowien,55
11649,F,Podiebrad; Sidonia (1449–1510),1449,1510,w,Podiebrad,Tharandt,61
11680,P,Truchsess von Waldburg; Andreas (1450–1511),1450,1511,m,,Herbertingen,61
15613,S,Colonna; Fabriz (1450–1520),1450,1520,m,Rom,Aversa,70
15633,F,Frangipane di Veglia; Niklas (1450–1523),1450,1523,m,Tersat am Flaum,Tersat am Flaum:Franziskanerkirche,73
17201,F,Thannhausen; Balthasar (1450–1516),1450,1516,m,,Friesach in Kärnten,66
19751,F,Rieneck; Dorothea (1450–1503),1450,1503,w,Grünsfeld,Grünsfeld,53
10941,P,Gonzaga; Rudolf (1452–1495); Markgraf von Luzzara,1452,1495,m,Mantova,Fornovo di Taro,43
11459,S,Hohenzollern; Eitel Friedrich (1452–1512); Obersthofmeister,1452,1512,m,Hechingen,Trier,60
15382,S,Colonna; Prosper (1452–1523),1452,1523,m,Lanuvio,Mailand,71
12510,P,Fugger; Georg (1453–1506),1453,1506,m,Augsburg,Augsburg,53
13220,P,Zähringen; Christoph (1453–1527),1453,1527,m,Baden in Baden,Baden in Baden,74
19532,F,Wolfstein; Wilhelm (1453–1518),1453,1518,m,,Seligenporten:Klosterkirche,65
16810,P,Gryfita; Bosel (1454–1523); Herzog in Pommern,1454,1523,m,Rügenwalde,Stettin,69
31159,S,Seld; Georg (1454–1527),1454,1527,m,Augsburg,Augsburg,73
11469,S,Hohenzollern; Johann (1455–1499); Markgraf von Brandenburg,1455,1499,m,Ansbach,Arneburg,44
12868,P,Oldenburg; Johann (1455–1513); König von Dänemark,1455,1513,m,Aalborg,Aalborg,58
18943,S,Boskowitz von Schwarzenberg; Lassel (1455–1520),1455,1520,m,Schwarzenberg in Mähren,Letowitz in Mähren,65
12800,P,Jagiello; Lassel (1456–1516); König von Böhmen,1456,1516,m,Krakau,Ofen,60
14990,S,Paumgartner von Schwanstein; Johann (1456–1527),1456,1527,m,Nürnberg,Augsburg,71
16088,S,Trivulzio; Theoderich (1456–1532),1456,1532,m,Mailand,Lyon,76
14409,S,Jagiello; Hedwig (1457–1502); Herzogin in Bayern,1457,1502,w,Krakau,Burghausen an der Salzach,45
15000,P,Capet; Maria (1457–1482); Herzogin von Burgund,1457,1482,w,Brüssel,Brügge,25
15027,F,Burgund; Beatrix (1457–1508); Königin von Ungarn,1457,1508,w,Capua,Neapel,51
19519,F,Bombast von Hohenheim; Wilhelm (1457–1534),1457,1534,m,,Villach in Kärnten,77
16133,P,Croy; Wilhelm (1458–1521),1458,1521,m,Chièvres,Worms,63
10300,P,Habsburg; Maximilian I. (1459–1519); Kaiser des Heiligen Römischen Reiches,1459,1519,m,Neustadt im Steinfeld,Wels,60
10873,M,Salm; Niklas (1459–1530); Statthalter von Niederösterreich,1459,1530,m,Salm in den Ardennen,Marchegg,71
12621,F,Újlaki; Lorenz (1459–1524),1459,1524,m,Illok in Syrmien,Illok in Syrmien,65
12701,P,Perényi; Emmerich (1459–1519); Palatin von Ungarn,1459,1519,m,,,60
11491,P,Hohenzollern; Friedrich (1460–1536); Landesherr von Ansbach,1460,1536,m,Ansbach,Ansbach,76
11670,P,Truchsess von Waldburg; Johann (1460–1510),1460,1510,m,,Wolfegg in Schwaben,50
11903,S,Oldenburg; Johann (1460–1526),1460,1526,m,Oldenburg an der Hunte,Oldenburg an der Hunte,66
12370,M,Jörger von Tollet; Wolfgang (1460–1524); Landeshauptmann von Oberösterreich,1460,1524,m,Tollet an der Trattnach,Sankt Georgen am Steinbach,64
17110,F,Prager von Windhaag; Lassel (1460–1514); Kämmerer,1460,1514,m,,Windhaag im Machland,54
17371,P,Frangipane di Veglia; Anna (1460–1498),1460,1498,w,Sluin,,38
17591,S,Greiß zum Wald; Wilhelm (1460–    ),1460,,m,,,0
17850,S,Zasy von Rabenstein; Ulrich (1461–1535),1461,1535,m,Konstanz im Hegau,Freiburg im Breisgau:Münster,74
11594,S,Lobkowicz; Bosel (1462–1510),1462,1510,m,Hassenstein,Hassenstein,48
14013,P,Cirksena; Eginhard (1462–1528),1462,1528,m,Greetsiel,Emden in Ostfriesland,66
17955,S,Everaerts; Niklas (1462–1532),1462,1532,m,Middelburg auf Zeeland,Mechelen,70
18628,F,Montfort; Haug (1462–1536),1462,1536,m,Bregenz,Höchstädt an der Donau:Pfarrkirche,74
11880,M,Wettin; Friedrich (1463–1525); Herzog zu Sachsen,1463,1525,m,,,62
12812,S,Schwarzenberg; Johann (1463–1528),1463,1528,m,Schwarzenberg in Franken,Nürnberg,65
17383,P,Kolowrat; Albrecht (1463–1510); Burggraf von Karlstein,1463,1510,m,,,47
12610,P,Hohenzollern; Barbara (1464–1515),1464,1515,w,Ansbach,Ansbach,51
14410,P,Jagiello; Sophia (1464–1512),1464,1512,w,Krakau,Ansbach,48
13390,P,Arborio di Gattinara; Merkurin (1465–1530),1465,1530,m,Gattinara,Innsbruck,65
16091,M,Trivulzio; Scharmutz (1465–1527); Bischof von Como,1465,1527,m,Mailand,Rom,62
10944,P,Gonzaga; Franz (1466–1519); Markgraf von Mantua,1466,1519,m,Mantova,Mantova,53
13519,P,Hohenems; Mark Sittich (1466–1533),1466,1533,m,Hohenems,Bregenz,67
12154,P,Thurzó von Bethlenfalva; Georg (1467–1521),1467,1521,m,Krakau,Augsburg,54
14406,P,Jagiello; Siegmund (1467–1548); König von Polen,1467,1548,m,Krakau,Krakau,81
17902,P,Zelking; Johann (1467–1525); Truchsess,1467,1525,m,,Ulrichskirchen:Pfarrkirche,58
12712,P,Lang von Wellenburg; Matthias (1468–1540); Erzbischof von Salzburg,1468,1540,m,Augsburg,Salzburg,72
12852,P,Solms; Philipp (1468–1544),1468,1544,m,Lich in der Wetterau,Frankfurt am Main,76
15650,P,Doria; Andreas (1468–1560); Fürst von Melfi,1468,1560,m,Oneglia,Genova:Chiesa di San Matteo,92
16076,P,Wettin; Katharina (1468–1524),1468,1524,w,Grimma im Muldetal,Calenberg an der Leine,56
10704,S,Truchsess von Waldburg; Wilhelm (1469–1557); Statthalter von Württemberg,1469,1557,m,Scheer an der Donau,Scheer an der Donau,88
10775,S,Taxis; Johann Baptist (1470–1541),1470,1541,m,Cornello,Regensburg,71
13520,P,Hohenems; Jakob (1470–1512),1470,1512,m,Hohenems,Ravenna,42
11647,P,Jung; Ambros (1471–1548),1471,1548,m,Ulm an der Donau,Augsburg,77
11873,P,Wettin; Georg (1471–1539); Herzog zu Sachsen,1471,1539,m,,,68
11907,P,Oldenburg; Friedrich (1471–1533); König von Dänemark,1471,1533,m,Hadersleben,Gottorf,62
17352,F,Scala; Johann (1471–1547),1471,1547,m,,Ingolstadt,76
11874,P,Wettin; Heinrich (1473–1541); Herzog zu Sachsen,1473,1541,m,Dresden,Dresden,68
15782,S,Frundsberg; Georg (1473–1528),1473,1528,m,Mindelheim,Mindelheim,55
15801,F,Hunyadi; Johann (1473–1504); Ban von Kroatien,1473,1504,m,Ofen,Krapina,31
13565,P,Gonzaga; Johann (1474–1525); Fürst von Vescovado,1474,1525,m,Mantova,Mantova,51
14472,P,Radziwill; Johann (1474–1522),1474,1522,m,Vilnius,,48
16143,P,Ligne; Anton (1474–1532),1474,1532,m,,,58
12703,P,Kanizsai; Dorothea (1475–1532),1475,1532,w,Kanizsa,Siklós,57
17270,P,Chodkiewicz; Alexander (1475–1549),1475,1549,m,Nowogródek,Supraśl,74
11586,M,Podiebrad; Karl (1476–1536); Landeshauptmann von Böhmen,1476,1536,m,Glatz,Frankenstein in Schlesien,60
12713,S,Lang von Wellenburg; Apollonia (1476–1519),1476,1519,w,Augsburg,Mailand,43
16736,S,Redwitz; Weigand (1476–1556); Bischof von Bamberg,1476,1556,m,Tüschnitz,Kronach,80
17992,S,Radziwill; Anna (1476–1522),1476,1522,w,Vilnius,Liw in Masowien,46
10400,P,Habsburg; Philipp I. (1478–1506); König von Kastilien,1478,1506,m,Brügge,Burgos,28
11646,S,Jung; Ulrich (1478–1539),1478,1539,m,Ulm an der Donau,Augsburg,61
15380,P,Castiglioni; Balthasar (1478–1529),1478,1529,m,Casatico,Toledo,51
15616,S,Colonna; Mark Anton (1478–1522),1478,1522,m,Salerno,Mailand,44
17991,P,Radziwill; Sophia (1478–1512),1478,1512,w,Vilnius,,34
13000,P,Burgund; Johanna (1479–1555); Königin von Kastilien,1479,1555,w,Toledo,Tordesillas,76
11210,P,Draskovich; Bartlome (1480–1538),1480,1538,m,Bilina in Dalmatien,,58
12118,S,Wrzesowitz; Jakob (1480–1526),1480,1526,m,Geiersberg in Böhmen,Mohács,46
13422,P,Lodron; Johann Baptist (1480–1555),1480,1555,m,,Casale Monferrato,75
14473,P,Radziwill; Georg (1480–1541),1480,1541,m,Vilnius,,61
15070,P,Habsburg; Margarita (1480–1530); Statthalterin der Spanischen Niederlande,1480,1530,w,Brüssel,Mechelen,50
15802,S,Castellalto; Franz (1480–1554),1480,1554,m,Kastelalt im Suganertal,Trient,74
17040,S,Piastowicz; Friedrich (1480–1547); Herzog in Schlesien,1480,1547,m,Liegnitz,Liegnitz,67
17785,M,Volkra; Wolfgang (1480–1531); Obersthofmarschall,1480,1531,m,Dornach im Feistritztal,Budweis in Böhmen,51
17903,F,Zelking; Veit (1480–1559),1480,1559,m,,Kefermarkt im Mühlviertel:Pfarrkirche,79
19174,F,Peukham; Erasam (1480–1553),1480,1553,m,,Albrechtsberg an der Großen Krems,73
10956,P,Gonzaga; Ludwig (1481–1540),1481,1540,m,Bozzolo,Sabbioneta,59
11492,P,Hohenzollern; Kasimir (1481–1527); Landesherr von Kulmbach,1481,1527,m,Ansbach,Ofen,46
12869,P,Oldenburg; Christian (1481–1559); König von Dänemark,1481,1559,m,Nyborg,Kalundborg,78
13151,S,Rogendorf; Wilhelm (1481–1541); Obersthofmeister,1481,1541,m,Pöggstall im Waldviertel,Sommerein auf der Schütt,60
15465,F,Sickingen; Franz (1481–1523),1481,1523,m,Ebernburg an der Nahe,Landstuhl in der Pfalz,42
11601,S,Lannoy; Karl (1482–1527),1482,1527,m,Valenciennes,Gaeta,45
13225,P,Zähringen; Ernst (1482–1553),1482,1553,m,Pforzheim,Sulzburg im Breisgau,71
13373,S,Frangipane di Veglia; Christoph (1482–1527); Ban von Kroatien,1482,1527,m,Modrus,Warasdin an der Drau,45
17904,P,Zelking; Wilhelm (1482–1541); Obersthofmeister,1482,1541,m,,Sierndorf in der Stockerau,59
10262,P,Dietrichstein; Siegmund (1484–1533); Landeshauptmann der Steiermark,1484,1533,m,Hartneidstein im Lavanttal,Finkenstein am Faakersee,49
11470,P,Hohenzollern; Joachim (1484–1535); Markgraf von Brandenburg,1484,1535,m,Kölln an der Spree,Stendal in der Altmark,51
11493,P,Hohenzollern; Georg (1484–1543); Landesherr von Ansbach,1484,1543,m,Ansbach,Ansbach,59
11611,P,Perrenot de Granvelle; Niklas (1484–1550),1484,1550,m,Ornans,Augsburg,66
13204,P,Álvarez de Toledo; Peter (1484–1553),1484,1553,m,Alba de Tormes,Florenz,69
14310,P,Schurff; Wilhelm (1484–1556),1484,1556,m,,Schönweer in Tirol,72
14950,P,Foix; Anna (1484–1506); Königin von Böhmen,1484,1506,w,,Ofen,22
10952,P,Gonzaga; Pyrrhus (1485–1529); Fürst von Bozzolo,1485,1529,m,Mantova,Gazzuolo,44
12955,P,Bánffy von Alsólendva; Johann (1485–1534); Palatin von Ungarn,1485,1534,m,Limbach an der Mur,Szaporca,49
14086,S,Zimmern; Wilhelm Werner (1485–1575),1485,1575,m,Meßkirch an der Ablach,Herrenzimmern,90
14240,F,Hohenzollern; Sophia (1485–1537); Herzogin in Schlesien,1485,1537,w,Ansbach,Liegnitz,52
15095,P,Cles; Bernhard (1485–1539); Bischof von Trient,1485,1539,m,Glöß im Nonstal,Brixen am Eisack,54
15611,S,Colonna; Vespasian (1485–1528),1485,1528,m,,Paliano,43
15772,M,Bakics; Paul (1485–1537),1485,1537,m,Venčac,Diakovár,52
10674,M,Herberstein; Siegmund (1486–1566),1486,1566,m,Wippach in der Krain,Wien:Michaelerkirche,80
11354,F,Schmid von Obernburg; Johann (1486–1552),1486,1552,m,Obernburg am Main,Villach in Kärnten,66
11695,F,Hohenzollern; Anna (1487–1514); Königin von Dänemark,1487,1514,w,Kölln an der Spree,Kiel,27
11942,P,Pernstein; Johann (1487–1548); Landeshauptmann von Mähren,1487,1548,m,Kromau in Mähren,Seelowitz,61
14612,M,Schlick; Stephan (1487–1526),1487,1526,m,Schlackenwerth,Mohács,39
19502,M,Schilling von Canstatt; Georg (1487–1554); Großprior des Malteserordens in Deutschland,1487,1554,m,Neuffen,Heitersheim im Breisgau,67
10711,P,Truchsess von Waldburg; Georg (1488–1531),1488,1531,m,Waldsee in Schwaben,Waldsee in Schwaben,43
12496,S,Thurzó von Bethlenfalva; Katharina (1488–1535),1488,1535,w,Krakau,Augsburg,47
14425,M,Promnitz; Balthasar (1488–1562); Bischof von Breslau,1488,1562,m,Lessendorf in Schlesien,Neiße,74
12511,S,Fugger; Reimund (1489–1535),1489,1535,m,Augsburg,Mickhausen,46
12590,M,Salamanca; Gabriel (1489–1539),1489,1539,m,Burgos,Ensisheim,50
12907,M,Zrínyi; Niklas (1489–1534),1489,1534,m,Zrín in Slawonien,Zrín in Slawonien,45
15865,P,Vaudémont; Anton (1489–1544); Herzog von Lothringen,1489,1544,m,Bar sur Ornain,Bar sur Ornain,55
18640,P,Montfort; Wolfgang (1489–1540),1489,1540,m,Wasserburg am Bodensee,,51
10278,P,Forgách; Siegmund (1490–1563),1490,1563,m,,,73
11943,F,Pernstein; Albrecht (1490–1534); Landeshauptmann von Böhmen,1490,1534,m,Kromau in Mähren,Prag,44
12192,F,Thurzó von Bethlenfalva; Alexander (1490–1543); Palatin von Ungarn,1490,1543,m,Krakau,Leutschau in der Zips,53
12231,P,Fernberger; Johann (1490–1554),1490,1554,m,,Linz an der Donau,64
